poll_date,institute,register_tse,candidate,poll_pct,polymarket_pct,polymarket_date,divergence_pp
2026-09-09,Ideia/Canal Meio,BR-07935/2026,Caiado,4,0.55,2026-08-19,-3.45
2026-09-09,Ideia/Canal Meio,BR-07935/2026,Zema,1.5,0.15,2026-08-19,-1.35
2026-09-09,Ideia/Canal Meio,BR-07935/2026,Pablo Marçal,1.5,0.75,2026-08-19,-0.75
2026-09-09,Gerp,BR-00251/2026,Flávio,37,32.55,2026-08-19,-4.45
2026-09-09,Gerp,BR-00251/2026,Lula,34,63.5,2026-08-19,29.5
2026-09-09,Gerp,BR-00251/2026,Caiado,5,0.55,2026-08-19,-4.45
2026-09-09,Gerp,BR-00251/2026,Renan,4,4.05,2026-08-19,0.05
2026-09-09,Gerp,BR-00251/2026,Pablo Marçal,2,0.75,2026-08-19,-1.25
2026-09-09,Gerp,BR-00251/2026,Zema,1,0.15,2026-08-19,-0.85
2026-09-09,Palver,BR-05420/2026,Lula,40,63.5,2026-08-19,23.5
2026-09-09,Palver,BR-05420/2026,Flávio,40,32.55,2026-08-19,-7.45
2026-09-09,Palver,BR-05420/2026,Renan,11,4.05,2026-08-19,-6.95
2026-09-09,Palver,BR-05420/2026,Caiado,1,0.55,2026-08-19,-0.45
2026-09-09,Palver,BR-05420/2026,Zema,1,0.15,2026-08-19,-0.85
2026-09-09,Palver,BR-05420/2026,Pablo Marçal,1,0.75,2026-08-19,-0.25
2026-09-10,PoderData/Aya,BR-04914/2026,Lula,38,43.5,2026-09-10,5.5
2026-09-10,PoderData/Aya,BR-04914/2026,Flávio,36,52.85,2026-09-10,16.85
2026-09-10,PoderData/Aya,BR-04914/2026,Renan,3,2.15,2026-09-10,-0.85
2026-09-10,PoderData/Aya,BR-04914/2026,Caiado,2,0.25,2026-09-10,-1.75
2026-09-10,PoderData/Aya,BR-04914/2026,Pablo Marçal,2,1,2026-09-10,-1
