poll_id,register_tse,institute,poll_date,matchup,candidate1,percent1,candidate2,percent2
BR-07972/2026,BR-07972/2026,AtlasIntel/Bloomberg,2026-08-31,Lula vs Zema,Lula,47,Romeu Zema,40.7
BR-07972/2026,BR-07972/2026,AtlasIntel/Bloomberg,2026-08-31,Lula vs Renan,Lula,47.5,Renan Santos,26
BR-08900/2026,BR-08900/2026,BTG/Nexus,2026-08-31,Lula vs Flávio,Lula,46,Flávio Bolsonaro,45
BR-03490/2026,BR-03490/2026,Real Time Big Data,2026-09-01,Lula vs Flávio,Lula,44,Flávio Bolsonaro,44
BR-03490/2026,BR-03490/2026,Real Time Big Data,2026-09-01,Caiado vs Lula,Ronaldo Caiado,45,Lula,43
BR-03490/2026,BR-03490/2026,Real Time Big Data,2026-09-01,Lula vs Zema,Lula,43,Romeu Zema,40
BR-03490/2026,BR-03490/2026,Real Time Big Data,2026-09-01,Lula vs Renan,Lula,44,Renan Santos,37
BR-03490/2026,BR-03490/2026,Real Time Big Data,2026-09-01,Lula vs Marçal,Lula,44,Pablo Marçal,40
BR-07065/2026,BR-07065/2026,Quaest/Genial,2026-09-02,Lula vs Flávio,Lula,42,Flávio Bolsonaro,41
BR-07065/2026,BR-07065/2026,Quaest/Genial,2026-09-02,Lula vs Caiado,Lula,42,Ronaldo Caiado,37
BR-07065/2026,BR-07065/2026,Quaest/Genial,2026-09-02,Lula vs Zema,Lula,44,Romeu Zema,33
BR-07065/2026,BR-07065/2026,Quaest/Genial,2026-09-02,Lula vs Renan,Lula,43,Renan Santos,36
BR-07065/2026,BR-07065/2026,Quaest/Genial,2026-09-02,Lula vs Cury,Lula,40,Augusto Cury,34
BR-03669/2026,BR-03669/2026,Datafolha,2026-09-03,Lula vs Flávio,Lula,46,Flávio Bolsonaro,44
BR-03669/2026,BR-03669/2026,Datafolha,2026-09-03,Lula vs Caiado,Lula,46,Ronaldo Caiado,41
BR-03669/2026,BR-03669/2026,Datafolha,2026-09-03,Lula vs Zema,Lula,48,Romeu Zema,39
BR-07561/2026,BR-07561/2026,PoderData,2026-09-03,Flávio vs Lula,Flávio Bolsonaro,45,Lula,44
BR-07561/2026,BR-07561/2026,PoderData,2026-09-03,Lula vs Caiado,Lula,44,Ronaldo Caiado,42
BR-07561/2026,BR-07561/2026,PoderData,2026-09-03,Lula vs Zema,Lula,44,Romeu Zema,42
BR-07561/2026,BR-07561/2026,PoderData,2026-09-03,Lula vs Renan,Lula,44,Renan Santos,39
BR-09426/2026,BR-09426/2026,Veritá,2026-09-06,Lula vs Flávio,Lula,43.1,Flávio Bolsonaro,48.5
BR-01720/2026,BR-01720/2026,Quaest/Genial,2026-09-07,Lula vs Flávio,Lula,41,Flávio Bolsonaro,41
BR-01720/2026,BR-01720/2026,Quaest/Genial,2026-09-07,Lula vs Caiado,Lula,41,Ronaldo Caiado,38
BR-01720/2026,BR-01720/2026,Quaest/Genial,2026-09-07,Lula vs Cury,Lula,39,Augusto Cury,35
BR-01720/2026,BR-01720/2026,Quaest/Genial,2026-09-07,Lula vs Renan,Lula,42,Renan Santos,37
BR-01720/2026,BR-01720/2026,Quaest/Genial,2026-09-07,Lula vs Zema,Lula,44,Romeu Zema,33
BR-06790/2026,BR-06790/2026,BTG/Nexus,2026-09-08,Flávio vs Lula,Flávio Bolsonaro,46,Lula,45
BR-06790/2026,BR-06790/2026,BTG/Nexus,2026-09-08,Cury vs Lula,Augusto Cury,45,Lula,43
BR-06790/2026,BR-06790/2026,BTG/Nexus,2026-09-08,Lula vs Caiado,Lula,46,Ronaldo Caiado,43
BR-06790/2026,BR-06790/2026,BTG/Nexus,2026-09-08,Lula vs Zema,Lula,47,Romeu Zema,40
BR-06790/2026,BR-06790/2026,BTG/Nexus,2026-09-08,Lula vs Renan,Lula,47,Renan Santos,39
BR-07935/2026,BR-07935/2026,Ideia/Canal Meio,2026-09-09,Lula vs Flávio,Lula,46,Flávio Bolsonaro,46
BR-07935/2026,BR-07935/2026,Ideia/Canal Meio,2026-09-09,Lula vs Caiado,Lula,46,Ronaldo Caiado,42
BR-07935/2026,BR-07935/2026,Ideia/Canal Meio,2026-09-09,Lula vs Cury,Lula,46,Augusto Cury,40.9
BR-07935/2026,BR-07935/2026,Ideia/Canal Meio,2026-09-09,Lula vs Renan,Lula,46,Renan Santos,40.3
BR-07935/2026,BR-07935/2026,Ideia/Canal Meio,2026-09-09,Lula vs Zema,Lula,46,Romeu Zema,38
BR-00251/2026,BR-00251/2026,Gerp,2026-09-09,Flávio vs Lula,Flávio Bolsonaro,47,Lula,40
BR-05420/2026,BR-05420/2026,Palver,2026-09-09,Flávio vs Lula,Flávio Bolsonaro,46,Lula,44
BR-04914/2026,BR-04914/2026,PoderData/Aya,2026-09-10,Lula vs Flávio,Lula,45,Flávio Bolsonaro,47
BR-04914/2026,BR-04914/2026,PoderData/Aya,2026-09-10,Lula vs Cury,Lula,43,Augusto Cury,44
